Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle in/external rotation angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Hip flex/extension angle,Hip in/external rotation angle,Hip in/external rotation moment,Knee flex/extension angle,Knee in/external rotation angle,Ipsi/contralateral pelvis rotation,EMG activation for peroneus longus
8.629041093,11.0568,4.65004,-28.2297,1.4426,0.299401,-8.47623,-0.625949,-0.36217,36.0675,23.2555,-0.230685,42.6196,-3.57735,-1.36463,0.998979632
7.196481741,13.3141,4.79074,-28.7971,1.9096,0.390489,-11.4493,-0.923674,-1.53953,34.12,22.8874,-0.305807,42.4112,-3.02766,-1.64905,0.999838115
7.454656749,15.1614,3.54621,-23.5634,2.56866,0.542513,20.3118,0.360626,-5.13145,7.62572,26.4683,-0.135001,38.7711,-1.83447,-12.8822,0.913592481
9.811641612,12.4632,3.25663,-22.2776,2.24218,0.461097,20.255,0.380202,-4.91741,5.50232,25.5999,-0.108947,37.344,-2.58529,-12.4619,0.904978219
20.13096121,9.41141,2.96556,-20.9604,1.9058,0.381722,19.2232,0.398809,-4.57363,3.335,24.6509,-0.0797342,35.8541,-3.34004,-12.0206,0.894171147
8.895352841,9.88592,-0.452255,-1.30632,1.60865,-0.0335368,-13.9813,0.992958,1.16629,38.5627,-23.6401,-0.29568,45.3053,0.122431,-8.02602,0.982328736
5.345672507,12.6052,-0.276562,-2.41972,1.9615,-0.0402557,-16.3321,1.36052,1.66241,37.0084,-23.8567,-0.40571,45.8099,1.5854,-8.57012,0.985543863
4.275496939,15.1249,-0.117061,-3.42893,2.293,-0.0491238,-17.7804,1.50351,1.35543,35.5176,-24.0306,-0.471204,46.2397,2.92306,-9.11092,0.988733284
3.765770702,17.3976,0.0157855,-4.26788,2.58546,-0.0602709,-18.3286,1.00006,0.630226,34.1092,-24.1813,-0.404895,46.5933,4.10072,-9.64722,0.991770303
5.063708612,12.5288,-3.61401,18.1152,1.8318,0.135003,20.5018,-0.0401496,-4.52317,0.0869368,-22.0904,-0.020287,27.7049,1.17924,-16.269,0.927370445
18.55454872,8.47139,-4.08891,20.789,1.53423,0.118692,18.9525,-0.191475,-4.28957,-2.1654,-22.5401,-0.00195601,25.6432,0.265089,-16.4181,0.907106514
5.166430212,26.1788,4.97735,-24.8987,2.88315,0.168772,17.3292,-0.196828,-6.24149,4.77144,21.3178,0.0913942,18.6784,5.97963,-7.72231,0.97418703
5.602778912,23.8099,4.68852,-23.5708,2.75727,0.160798,20.7118,-0.280601,-6.29058,2.39948,19.6575,0.0919254,16.4894,4.95179,-6.96541,0.96981052
6.333144232,20.9467,4.39334,-22.1847,2.6022,0.153195,23.6361,-0.333402,-6.28297,-0.0583823,18.0211,0.0928512,14.1367,3.73293,-6.13827,0.962981718
7.729557501,17.5617,4.09317,-20.7461,2.41663,0.145839,25.7357,-0.36512,-6.24617,-2.59461,16.4435,0.0930777,11.6429,2.3251,-5.25865,0.953587291
11.24865687,13.6516,3.78864,-19.2576,2.20713,0.134629,26.7514,-0.384131,-6.16172,-5.19594,14.9492,0.0881927,9.04056,0.738128,-4.34454,0.942541125
32.14708083,9.2482,3.48125,-17.7266,1.97036,0.120091,26.3701,-0.398458,-5.97408,-7.84327,13.5543,0.0805886,6.37188,-1.00588,-3.41368,0.930916246
